latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
56.942,156.842,309.3,1.1,1.1,2016-06-08,0105,T,39,6.0NRT,291.2,9.2,D
56.939,156.86,323.7,1.1,1.1,2016-06-08,0105,T,56,6.0NRT,290.5,22.1,D
56.952,156.732,326.3,1.1,1.1,2016-06-08,0105,T,60,6.0NRT,288.3,25.4,D
56.933,156.837,350.3,1.1,1.1,2016-06-08,0105,T,96,6.0NRT,295.8,69.9,D
56.93,156.854,335.9,1.1,1.1,2016-06-08,0105,T,74,6.0NRT,293.5,37.6,D
56.926,156.872,332.8,1.1,1.1,2016-06-08,0105,T,65,6.0NRT,293,32.7,D
56.959,156.639,310.8,1.1,1,2016-06-08,0105,T,67,6.0NRT,289.6,11.5,D
56.956,156.656,326.9,1.1,1.1,2016-06-08,0105,T,84,6.0NRT,289.8,28.2,D
56.952,156.674,336.3,1.1,1.1,2016-06-08,0105,T,89,6.0NRT,290,42,D
56.949,156.691,328.4,1.1,1.1,2016-06-08,0105,T,85,6.0NRT,288.3,28.9,D
56.946,156.709,325.9,1.1,1.1,2016-06-08,0105,T,78,6.0NRT,288.2,25.2,D
56.943,156.726,320.3,1.1,1.1,2016-06-08,0105,T,75,6.0NRT,289.9,18.7,D
56.94,156.743,316.6,1.1,1.1,2016-06-08,0105,T,70,6.0NRT,290.7,14.6,D
56.94,156.686,310,1.1,1.1,2016-06-08,0105,T,45,6.0NRT,287.8,8.8,D
56.895,156.932,331.3,1.1,1.1,2016-06-08,0105,T,87,6.0NRT,297.5,31.6,D
56.793,156.746,360.1,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,295.6,98.8,D
56.79,156.764,311.8,1.1,1.1,2016-06-08,0105,T,60,6.0NRT,291.3,8.7,D
56.79,156.738,353.8,1.1,1.1,2016-06-08,0105,T,97,6.0NRT,297.1,79.3,D
56.787,156.755,336.6,1.1,1.1,2016-06-08,0105,T,89,6.0NRT,292.6,40.8,D
56.676,157.082,337.9,1.1,1.1,2016-06-08,0105,T,90,6.0NRT,299.2,42,D
56.673,157.1,350.1,1.1,1.1,2016-06-08,0105,T,96,6.0NRT,298,70.8,D
56.667,157.076,335.9,1.1,1.1,2016-06-08,0105,T,89,6.0NRT,293.8,37.7,D
56.664,157.094,318.1,1.1,1.1,2016-06-08,0105,T,57,6.0NRT,291.4,13.5,D
56.749,156.578,338.5,1.1,1.1,2016-06-08,0105,T,88,6.0NRT,293.4,43.6,D
56.746,156.595,362.1,1.1,1.1,2016-06-08,0105,T,100,6.0NRT,297.4,101.9,D
56.743,156.613,342.3,1.1,1.1,2016-06-08,0105,T,92,6.0NRT,293.3,49.7,D
